0.2088, 0.4800, 0.1692, 0.2897, 0.5357, 0.2679, 0.3036, 0.3333, 0.3542, 0.3333, 1.4231, 0.4231, 1.0000
0.1654, 0.4435, 0.1548, 0.2679, 0.7031, 0.2812, 0.2903, 0.2857, 0.2903, 0.2819, 1.7381, 0.7381, 1.0000
0.2481, 0.5596, 0.1835, 0.4123, 1.1579, 0.1930, 0.2632, 0.1429, 0.1875, 0.3607, 1.3636, 0.3636, 1.0000
0.1523, 0.4525, 0.1614, 0.2545, 1.0364, 0.2909, 0.3091, 0.2192, 0.2361, 0.2587, 1.7568, 0.7568, 1.0000
0.1811, 0.4651, 0.1794, 0.3186, 0.6481, 0.2963, 0.3208, 0.3137, 0.3269, 0.3429, 1.5833, 0.5833, 1.0000
0.2244, 0.4639, 0.1856, 0.2959, 0.7647, 0.2745, 0.2941, 0.2642, 0.2885, 0.4222, 1.1754, 0.1754, 1.0000
0.2610, 0.4182, 0.1697, 0.1852, 0.8679, 0.2264, 0.2222, 0.2069, 0.2000, 0.5145, 1.3521, 0.3521, 1.0000
0.2140, 0.4688, 0.1780, 0.3421, 1.0000, 0.2500, 0.2364, 0.2000, 0.1912, 0.3861, 1.5082, 0.5082, 1.0000
0.2317, 0.4281, 0.1677, 0.2143, 1.0385, 0.2500, 0.2264, 0.1940, 0.1875, 0.4196, 1.3667, 0.3667, 1.0000
0.2195, 0.5000, 0.1786, 0.3400, 0.8889, 0.2407, 0.2778, 0.2131, 0.2459, 0.3506, 1.3148, 0.3148, 1.0000
0.2039, 0.4688, 0.1875, 0.2328, 0.7455, 0.2364, 0.1964, 0.2407, 0.2115, 0.3467, 1.1923, 0.1923, 1.0000
0.2886, 0.5076, 0.1793, 0.2920, 0.9000, 0.2667, 0.2833, 0.2286, 0.2464, 0.4251, 1.2394, 0.2394, 1.0000
0.1579, 0.3969, 0.1406, 0.3519, 0.5893, 0.3393, 0.3333, 0.3654, 0.3585, 0.2835, 1.8333, 0.8333, 2.0000
0.1111, 0.3650, 0.1411, 0.2500, 0.6508, 0.3492, 0.3548, 0.3492, 0.3548, 0.2353, 2.2857, 1.2857, 2.0000
